long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
0,"НЕМАЄ",,,,,,,,"НЕМАЄ",,,,,,,,0xFF01FE,
1,"Стріли",,,,,,,,"Стріли",,,,,,,,0xFF01FE,
2,"Кулі",,,,,,,,"Кулі",,,,,,,,0xFF01FE,
3,"Камені душ",,,,,,,,"Камені душ",,,,,,,,0xFF01FE,
4,"Товары для кожевников",,,,,,,,"Товары для кожевников",,,,,,,,0xFF01FE,
5,"Письменные принадлежности",,,,,,,,"Письменные принадлежности",,,,,,,,0xFF01FF,
6,"Трави",,,,,,,,"Трави",,,,,,,,0xFF01FE,
7,"Товары для зачарування",,,,,,,,"Товары для зачарування",,,,,,,,0xFF01FE,
8,"Інженерні матеріали",,,,,,,,"Інженерні матеріали",,,,,,,,0xFF01FE,
9,"Ключі",,,,,,,,"Ключі",,,,,,,,0xFF01FE,
10,"Самоцвіти",,,,,,,,"Самоцвіти",,,,,,,,0xFF01FE,
11,"Товары для гірничої справи",,,,,,,,"Товары для гірничої справи",,,,,,,,0xFF01FE,
12,"Персональное снаряжение",,,,,,,,"Персональное снаряжение",,,,,,,,0xFF01FE,
13,"Супутники",,,,,,,,"Супутники",,,,,,,,0xFF01FE,
14,"Обменные жетоны",,,,,,,,"Обменные жетоны",,,,,,,,0xFF01FE,
15,"Предм. для завдань",,,,,,,,"Предм. для завдань",,,,,,,,0xFF01FE,
